Name,Link
Усадьба Кузьминки,https://um.mos.ru/places/usadba_kuzminki/
Территория Московского университета,https://um.mos.ru/places/moskovskiy_universitet_ul_mokhovaya_dd_9_11/
Третьяковский проезд,https://um.mos.ru/places/tretyakovskiy-proezd/
Улица Охотный ряд,https://um.mos.ru/places/ulitsa_okhotnyy_ryad/
Екатерининский парк,https://um.mos.ru/places/ekaterininskiy-park/
Улица Малая Дмитровка,https://um.mos.ru/places/ulitsa_malaya_dmitrovka/
Большая Сухаревская площадь,https://um.mos.ru/places/bolshaya_sukharevskaya_ploshchad/
Берсеневская набережная,https://um.mos.ru/places/bersenevskaya_naberezhnaya/
Арбат,https://um.mos.ru/places/arbat/
Площадь Тверская застава,https://um.mos.ru/places/ploshchad_tverskaya_zastava/
Ильинский сквер,https://um.mos.ru/places/ilinskiy_skver/
Смоленская площадь,https://um.mos.ru/places/smolenskaya_ploshchad/
Милютинский сад,https://um.mos.ru/places/milyutinskiy_sad/
Екатерининский сад,https://um.mos.ru/places/ekaterininskiy_sad/
Улица Хачатуряна,https://um.mos.ru/places/ulitsa-khachaturyana/
Мемориально-парковый комплекс героев Первой Мировой войны,https://um.mos.ru/places/bratskoe_kladbishche/
Парк «Зарядье»,https://um.mos.ru/places/park_zaryade_/
Новая Басманная улица,https://um.mos.ru/places/novaya_basmannaya_ulitsa/
Коровий вал,https://um.mos.ru/places/koroviy_val/
Площадь Васильевский спуск,https://um.mos.ru/places/ploshchad_vasilevskiy_spusk/
Московский зоопарк,https://um.mos.ru/places/moskovskiy_zoopark/
Садовая–Кудринская улица,https://um.mos.ru/places/sadovaya_kudrinskaya_ulitsa/
Ботанический сад МГУ на Проспекте мира,https://um.mos.ru/places/botanicheskiy_sad_mgu_na_prospekte_mira/
Площадь Кропоткинские ворота,https://um.mos.ru/places/ploshchad_kropotkinskie_vorota/
Славянская площадь,https://um.mos.ru/places/slavyanskaya_ploshchad/
Кудринская площадь,https://um.mos.ru/places/kudrinskaya_ploshchad/
"Леоновский парк (""Сад Будущего"")",https://um.mos.ru/places/leonovskiy_park/
Овчинная слобода в Замоскворечье,https://um.mos.ru/places/ovchinnaya_sloboda_v_zamoskvoreche/
Яузский бульвар,https://um.mos.ru/places/yauzskiy_bulvar/
Сад им. Н. Э. Баумана,https://um.mos.ru/places/sad_im_n_e_baumana/
Петровский бульвар,https://um.mos.ru/places/petrovskiy_bulvar/
Раушская набережная,https://um.mos.ru/places/raushskaya_naberezhnaya/
Ясенево,https://um.mos.ru/places/yasenevo/
Мещанский район,https://um.mos.ru/places/meshchanskiy_rayon/
Улица Забелина,https://um.mos.ru/places/ulitsa_zabelina/
"Ансамбль ""Кусково""",https://um.mos.ru/places/ansambl_kuskovo/
Петровские ворота площадь,https://um.mos.ru/places/petrovskie_vorota_ploshchad/
Литературный дворик «Басни Крылова»,https://um.mos.ru/places/literaturnyy-dvorik-basni-krylova/
Парк Красная Пресня,https://um.mos.ru/places/park_krasnaya_presnya/
Сыромятники,https://um.mos.ru/places/syromyatniki/
Улица Знаменка,https://um.mos.ru/places/ulitsa_znamenka/
Кисловская слобода,https://um.mos.ru/places/kislovskaya_sloboda/
Красносельский район,https://um.mos.ru/places/krasnoselskiy_rayon/
Площадь Сретенские ворота,https://um.mos.ru/places/ploshchad_sretenskie_vorota/
Зубовский бульвар,https://um.mos.ru/places/zubovskiy_bulvar/
Улица Народного Ополчения,https://um.mos.ru/places/ulitsa-narodnogo-opolcheniya/
Площадь Мясницкие Ворота,https://um.mos.ru/places/ploshchad_myasnitskie_vorota/
ГАУК «Поклонная гора» (Парк Победы),https://um.mos.ru/places/gauk-poklonnaya-gora-park-pobedy/
Садовая-Самотечная улица,https://um.mos.ru/places/sadovaya_samotechnaya_ulitsa/
Улица Малая Лубянка,https://um.mos.ru/places/ulitsa_malaya_lubyanka/
"Жилой комплекс ""Усачевка""",https://um.mos.ru/places/zhiloy_kompleks_usachevka/
Улица Кедрова,https://um.mos.ru/places/ulitsa_kedrova_/
Яузская улица,https://um.mos.ru/places/yauzskaya_ulitsa/
Село Ростокино на Троицкой дороге,https://um.mos.ru/places/selo_rostokino_na_troitskoy_doroge/
Зеленый лабиринт в Ландшафтном парке ВДНХ,https://um.mos.ru/places/zelenyy-labirint-v-landshaftnom-parke-vdnkh/
Верхняя Радищевская улица,https://um.mos.ru/places/verkhnyaya_radishchevskaya_ulitsa/
Подсосенский переулок,https://um.mos.ru/places/usadba_morozovykh/
Парк Декабрьского восстания,https://um.mos.ru/places/park_dekabrskogo_vosstaniya/
Яузские ворота площадь,https://um.mos.ru/places/yauzskie_vorota_ploshchad/
Изумрудная улица,https://um.mos.ru/places/izumrudnaya_ulitsa/
Лубянский проезд,https://um.mos.ru/places/lubyanskiy_proezd/
Кремлёвская набережная,https://um.mos.ru/places/kremlyevskaya-naberezhnaya/
Садовая-Черногрязская улица,https://um.mos.ru/places/sadovaya_chernogryazskaya_ulitsa/
Садовая-Сухаревская улица,https://um.mos.ru/places/sadovaya_sukharevskaya_ulitsa/
Тайнинская улица,https://um.mos.ru/places/tayninskaya_ulitsa/
Соймоновский проезд,https://um.mos.ru/places/soymonovskiy_proezd_/
Природно-исторический парк «Битцевский лес»,https://um.mos.ru/places/prirodno-istoricheskiy-park-bittsevskiy-les/
Малая Якиманка,https://um.mos.ru/places/malaya_yakimanka/
Улица Малая Полянка,https://um.mos.ru/places/ulitsa_malaya_polyanka/
Садовая-Каретная улица,https://um.mos.ru/places/sadovaya_karetnaya_ulitsa/
"улицы Южная, Первомайская, Полевая и Мезенская",https://um.mos.ru/places/ulitsy_yuzhnaya_pervomayskaya_polevaya_i_mezenskaya/
"Природно-исторический парк ""Кузьминки-Люблино""",https://um.mos.ru/places/prirodno-istoricheskiy-park-kuzminki-lyublino/
Чистые пруды,https://um.mos.ru/places/chistye-prudy/
Осташковская улица,https://um.mos.ru/places/ostashkovskaya_ulitsa/
Минусинская улица,https://um.mos.ru/places/minusinskaya_ulitsa/
Долина реки Сетунь,https://um.mos.ru/places/dolina-reki-setun/
Парк «Останкино»,https://um.mos.ru/places/park-ostankino/
Владыкино,https://um.mos.ru/places/vladykino/
Мичуринский проспект,https://um.mos.ru/places/michurinskiy-prospekt/
Таёжная улица,https://um.mos.ru/places/tayezhnaya_ulitsa/
Молодежный жилой комплекс Зеленограда,https://um.mos.ru/places/molodezhnyy-zhiloy-kompleks-zelenograda/
Фестивальная площадка на Матвеевской улице,https://um.mos.ru/places/festivalnaya-ploshchadka-na-matveevskoy-ulitse/
Парк «Ходынское поле»,https://um.mos.ru/places/park-khodynskoe-pole/
Сквер имени Анны Герман,https://um.mos.ru/places/skver-imeni-anny-german/
Парк «Филатов луг»,https://um.mos.ru/places/park-filatov-lug/
Большой Очаковский пруд,https://um.mos.ru/places/bolshoy-ochakovskiy-prud/
Чёрное озеро в Зеленограде,https://um.mos.ru/places/chyernoe-ozero-v-zelenograde/
Сквер Майи Плисецкой,https://um.mos.ru/places/skver-mayi-plisetskoy/
Зона отдыха возле реки Очаковки (Очаковский парк),https://um.mos.ru/places/zona-otdykha-vozle-reki-ochakovki-ochakovskiy-park/
Малая Бронная улица,https://um.mos.ru/places/malaya-bronnaya/
Таймырская улица,https://um.mos.ru/places/taymyrskaya_ulitsa/
Парк «Рассказовка»,https://um.mos.ru/places/park-rasskazovka/
Парк «Говоровский лес»,https://um.mos.ru/places/park-govorovskiy-les/
Вольерный комплекс «Дом лани» в Зеленограде,https://um.mos.ru/places/volernyy-kompleks-dom-lani-v-zelenograde/
Парк на набережной Москвы-реки в Капотне,https://um.mos.ru/places/park-na-naberezhnoy-moskvy-reki-v-kapotne/
Комсомольская площадь,https://um.mos.ru/places/komsomolskaya-ploshchad/
Ландшафтный парк ВДНХ,https://um.mos.ru/places/landshaftnyy-park-vdnkh/
Парк 40-летия Победы в Зеленограде,https://um.mos.ru/places/park-40-letiya-pobedy-v-zelenograde/
Голицынский пруд,https://um.mos.ru/places/golitsynskiy-prud/
Парк Северного речного вокзала,https://um.mos.ru/places/park-severnogo-rechnogo-vokzala/
Большой Воронцовский пруд,https://um.mos.ru/places/bolshoy-vorontsovskiy-prud/
Улица Маршала Мерецкова,https://um.mos.ru/places/ulitsa-marshala-meretskova/
Улица Расковой,https://um.mos.ru/places/ulitsa-raskovoy/
Улица Маршала Малиновского,https://um.mos.ru/places/ulitsa-marshala-malinovskogo/
Лужники,https://um.mos.ru/places/luzhniki/
Хавско-Шаболовский жилмассив,https://um.mos.ru/places/khavsko-shabolovskiy-zhilmassiv/
Парк «Хованская дубрава»,https://um.mos.ru/places/park-hovanskaya-dubrava/
Улица Маши Порываевой,https://um.mos.ru/places/ulitsa-mashi-poryvaevoy/
Улица Гастелло,https://um.mos.ru/places/ulitsa-gastello/
Московская окружная железная дорога,https://um.mos.ru/places/moskovskaya-okruzhnaya-zheleznaya-doroga/
"Улица Талалихина (ЦАО,ЮВАО)",https://um.mos.ru/places/ulitsa-talalikhina/
Воздушная экотропа в Ландшафтном парке ВДНХ,https://um.mos.ru/places/vozdushnaya-ekotropa-v-landshaftnom-parke-vdnkh/
Этнографическая деревня Бибирево,https://um.mos.ru/places/etnograficheskaya-derevnya-bibirevo/
Серебряный Бор,https://um.mos.ru/places/serebryanyy-bor/
Щукинский парк,https://um.mos.ru/places/shchukinskiy-park/
Улица Высоцкого,https://um.mos.ru/places/ulitsa-vysotskogo/
Старый Сиреневый сад Л.А. Колесникова,https://um.mos.ru/places/staryy-sirenevyy-sad-l-a-kolesnikova/
Парк Света,https://um.mos.ru/places/park-sveta/
"Дубрава в парке ""Усадьба Воронцово""",https://um.mos.ru/places/dubrava/
Дубовая роща - памятник природы,https://um.mos.ru/places/dubovaya-roshcha-pamyatnik-prirody/
Каток в Парке Горького,https://um.mos.ru/places/katok-cpkio-im-m-gorkogo/
"Парк ""Усадьба Воронцово""",https://um.mos.ru/places/park-usadba-vorontsovo/
Мичуринский сад,https://um.mos.ru/places/michurinskiy-sad/
Площадь Гагарина,https://um.mos.ru/places/ploshchad-gagarina/
Лялин переулок,https://um.mos.ru/places/lyalin-pereulok/
Голицынский сад,https://um.mos.ru/places/golitsynskiy-sad/
Улица Зои и Александра Космодемьянских,https://um.mos.ru/places/ulitsa-zoi-i-aleksandra-kosmodemyanskikh/
Парк на правом берегу реки Десны,https://um.mos.ru/places/park-na-pravom-beregu-reki-desny/
Улица Александра Лукьянова,https://um.mos.ru/places/ulitsa-aleksandra-lukyanova/
Парк «Пыхтино»,https://um.mos.ru/places/park-pyhtino/
Гончаровский парк,https://um.mos.ru/places/park-na-ul-rustaveli/
Новодевичьи пруды,https://um.mos.ru/places/novodevichi-prudy/
Зеленоградский Дендропарк,https://um.mos.ru/places/zelenogradskiy-dendropark/
Заводской пруд в Капотне,https://um.mos.ru/places/zavodskoy-prud-v-kapotne/
Круглый пруд (Лодочная станция),https://um.mos.ru/places/kruglyy-prud-lodochnaya-stantsiya/
Каток в парке «Сокольники»,https://um.mos.ru/places/katok-v-sokolnikah/
Парк Дружбы,https://um.mos.ru/places/park-druzhby/
Скейт-парк в Капотне,https://um.mos.ru/places/skeyt-park-v-kapotne/
Парк «Марьино»,https://um.mos.ru/places/park-marino/
Новопушкинский сквер,https://um.mos.ru/places/novopushkinskiy-skver/
Улица Тимура Фрунзе,https://um.mos.ru/places/ulitsa-timura-frunze/
Парк скульптур Коненкова,https://um.mos.ru/places/park-skulptur-konenkova/
Бирюлевский дендропарк,https://um.mos.ru/places/biryulevskiy-dendropark/
Экспозиция «Розарий» Главного ботанического сада им. Н.В. Цицина РАН,https://um.mos.ru/places/ekspozitsiya-rozariy-glavnogo-botanicheskogo-sada-im-n-v-tsitsina-ran/
Филёвский парк,https://um.mos.ru/places/park-fili/
Улица Лётчика Бабушкина,https://um.mos.ru/places/ulitsa-lyetchika-babushkina/
Спортивный парк «Десеновское»,https://um.mos.ru/places/sportivnyy-park-desenovskoe/
Большой Садовый пруд,https://um.mos.ru/places/bolshoy-sadovyy-prud/
Река Чурилиха,https://um.mos.ru/places/reka-churilikha/
Каток в саду «Эрмитаж»,https://um.mos.ru/places/katok-v-sadu-ermitazh/
Переулок Сивцев Вражек,https://um.mos.ru/places/pereulok-sivtsev-vrazhek/
Улица Павла Фитина,https://um.mos.ru/places/ulitsa-pavla-fitina/
Улица Ефремова,https://um.mos.ru/places/ulitsa-efremova/
Площадь Цезаря Куникова,https://um.mos.ru/places/ploshchad-tsezarya-kunikova/
Никольский пруд,https://um.mos.ru/places/nikolskiy-prud/
Улица Черняховского,https://um.mos.ru/places/ulitsa-chernyakhovskogo/
Улица Ирины Левченко,https://um.mos.ru/places/ulitsa-iriny-levchenko/
Улица Маршала Катукова,https://um.mos.ru/places/ulitsa-marshala-katukova/
Бульвар Маршала Рокоссовского,https://um.mos.ru/places/bulvar-marshala-rokossovskogo/
Улица Плющиха,https://um.mos.ru/places/ulitsa-plyushchikha/
Улица Маршала Конева,https://um.mos.ru/places/ulitsa-marshala-koneva/
Лианозовский питомник,https://um.mos.ru/places/lianozovskiy-pitomnik/
«Солнце Москвы»,https://um.mos.ru/places/solnce-moskvy/
Каток в Измайловском парке,https://um.mos.ru/places/katok-v-izmaylovskom-parke/
Улица Татьяны Макаровой,https://um.mos.ru/places/ulitsa-tatyany-makarovoy/
Марьина роща,https://um.mos.ru/places/marina-roshcha/
Улица Рудневой,https://um.mos.ru/places/ulitsa-rudnevoy/
Район Песчаных улиц,https://um.mos.ru/places/rayon-peschanykh-ulits/
Наташина березовая роща,https://um.mos.ru/places/natashina-berezovaya-roshcha/
Люблинские пруды,https://um.mos.ru/places/lyublinskie-prudy/
Улица Зорге,https://um.mos.ru/places/ulitsa-zorge/
Парк «Площадь часов» в Зеленограде,https://um.mos.ru/places/park-ploshchad-chasov-v-zelenograde/
Улица Маршала Шапошникова,https://um.mos.ru/places/ulitsa-marshala-shaposhnikova/
Улица Сергея Макеева,https://um.mos.ru/places/ulitsa-sergeya-makeeva/
Газетный переулок,https://um.mos.ru/places/gazetnyy-pereulok/
Парк «Покровское-Стрешнево»: бобровые хатки и трамплины,https://um.mos.ru/places/park-pokrovskoe-streshnevo-bobrovye-khatki-i-trampliny/
Народный парк «Панфиловский»,https://um.mos.ru/places/narodnyy-park-panfilovskiy/
Улица Лизы Чайкиной,https://um.mos.ru/places/ulitsa-lizy-chaykinoy/
Улица Степана Супруна,https://um.mos.ru/places/ulitsa-stepana-supruna/
Улица Екатерины Будановой,https://um.mos.ru/places/ulitsa-ekateriny-budanovoy/
Парк 850-летия Москвы,https://um.mos.ru/places/park-850-letiya-moskvy/
Улица Достоевского,https://um.mos.ru/places/ulitsa-dostoevskogo/
Улица Маршала Бирюзова,https://um.mos.ru/places/ulitsa-marshala-biryuzova/
Улица Серёгина,https://um.mos.ru/places/ulitsa-seregina/
Трёхпрудный переулок,https://um.mos.ru/places/trehprudnyy-pereulok/
Комсомольский проспект,https://um.mos.ru/places/komsomolskiy-prospekt/
Проспект Вернадского,https://um.mos.ru/places/prospekt-vernadskogo/
Родионовская улица,https://um.mos.ru/places/rodionovskaya-ulitsa/
Смотровая площадка-амфитеатр у воды в Ландшафтном парке ВДНХ,https://um.mos.ru/places/smotrovaya-ploshchadka-amfiteatr-u-vody-v-landshaftnom-parke-vdnkh/
Улица Маршала Захарова,https://um.mos.ru/places/ulitsa-marshala-zakharova/
Площадь Марины Расковой,https://um.mos.ru/places/ploshchad-mariny-raskovoy/
Улица Покрышкина,https://um.mos.ru/places/ulitsa-pokryshkina/
Проспект Будённого,https://um.mos.ru/places/prospekt-budyennogo/
Переулок Расковой,https://um.mos.ru/places/pereulok-raskovoy/
Эко-тропа «В гармонии с природой»,https://um.mos.ru/places/eko-tropa-v-garmonii-s-prirodoy/
Улица Мастеркова,https://um.mos.ru/places/ulitsa-masterkova/
Улица Викторенко,https://um.mos.ru/places/ulitsa-viktorenko/
Улица Наташи Ковшовой,https://um.mos.ru/places/ulitsa-natashi-kovshovoy/
Сквер «Флейта» в Зеленограде,https://um.mos.ru/places/skver-fleyta-v-zelenograde/
Площадь Разгуляй,https://um.mos.ru/places/ploshchad-razgulyay/
Парк у набережной реки Цыганки,https://um.mos.ru/places/park-u-naberezhnoy-reki-cyganki/
Сквер Гвардии Полковника Ерастова,https://um.mos.ru/places/skver-gvardii-polkovnika-erastova/
Улица Жуковского,https://um.mos.ru/places/ulitsa-zhukovskogo/
Улица Доватора,https://um.mos.ru/places/ulitsa-dovatora/
Улица Климашкина,https://um.mos.ru/places/ulitsa-klimashkina/
Культурно-деловой кластер “Басманный двор”,https://um.mos.ru/places/kulturno-delovoy-klaster-basmannyy-dvor/
Улица Лестева,https://um.mos.ru/places/ulitsa-lesteva/
Сквер им. А.П. Чехова,https://um.mos.ru/places/skver-im-a-p-chekhova/
Улица Петра Романова,https://um.mos.ru/places/ulitsa-petra-romanova/
Улица Мусы Джалиля,https://um.mos.ru/places/ulitsa-musy-dzhalilya/
Сквер с альпийской горкой в Зеленограде,https://um.mos.ru/places/skver-s-alpiyskoy-gorkoy-v-zelenograde/
Улица Берзарина,https://um.mos.ru/places/ulitsa-berzarina/
Улица Авиаконструктора Микояна,https://um.mos.ru/places/ulitsa-aviakonstruktora-mikoyana/
Улица Артамонова,https://um.mos.ru/places/ulitsa-artamonova/
