Name,Link
«Метрополь»,https://um.mos.ru/houses/gostinitsa_metropol/
Доходный дом Г.Е. Бройдо,https://um.mos.ru/houses/dokhodnyy_dom_g_e_broydo/
Здание МИДа,https://um.mos.ru/houses/zdanie_mida/
"""Дом-корабль""",https://um.mos.ru/houses/dom_korabl/
Особняк П.П. Смирнова,https://um.mos.ru/houses/osobnyak_p_p_smirnova/
Дом Ученых,https://um.mos.ru/houses/dom_uchenykh/
Палаты Аверкия Кириллова,https://um.mos.ru/houses/palaty_averkiya_kirillova/
Главный дом городской усадьбы Н.В. Игумнова,https://um.mos.ru/houses/dom_n_v_igumnova/
Главный дом усадьбы А.Л. Кнопа,https://um.mos.ru/houses/glavnyy_dom_usadby_a_l_knopa/
Дом Черткова,https://um.mos.ru/houses/dom_chertkova/
Государственный исторический музей,https://um.mos.ru/houses/gosudarstvennyy_istoricheskiy_muzey/
Печатный двор,https://um.mos.ru/houses/pechatnyy_dvor/
Усадьба Дениса Давыдова,https://um.mos.ru/houses/usadba_denisa_davydova/
Дом доходный - дом жилой «Дом-утюг»,https://um.mos.ru/houses/dom-dokhodnyy-dom-zhiloy-dom-utyug/
Охотничий домик,https://um.mos.ru/houses/okhotnichiy_domik/
Английский клуб,https://um.mos.ru/houses/angliyskiy_klub/
"Усадьба Усачевых-Найденовых (""Высокие Горы"")",https://um.mos.ru/houses/usadba_usachevykh_naydenovykh_vysokie_gory/
Станция метро «Маяковская»,https://um.mos.ru/houses/stantsiya_metro_mayakovskaya/
Особняк Дерожинской,https://um.mos.ru/houses/osobnyak_derozhinskoy/
Здание Президиума РАН,https://um.mos.ru/houses/zdanie_prezidiuma_ran/
Ярославский вокзал,https://um.mos.ru/houses/yaroslavskiy_vokzal/
Жилой дом Госстраха,https://um.mos.ru/houses/zhiloy_dom_gosstrakha/
Особняк Морозовых,https://um.mos.ru/houses/osobnyak_morozovykh/
Александринский (Нескучный) дворец,https://um.mos.ru/houses/aleksandrinskiy_neskuchnyy_dvorets/
Патриаршие пруды,https://um.mos.ru/houses/patriarshie_prudy/
Дом Ростовых,https://um.mos.ru/houses/dom_rostovykh/
Церковь Святого Климента Папы Римского,https://um.mos.ru/houses/khram_sv_klimenta/
Верхние торговые ряды (ГУМ),https://um.mos.ru/houses/verkhnie_torgovye_ryady_gum/
Странноприимный дом графа Шереметева,https://um.mos.ru/houses/strannopriimnyy-dom-grafa-sheremeteva/
Аптека Феррейна,https://um.mos.ru/houses/apteka_ferreyna/
ВСХВ-ВДНХ-ВВЦ,https://um.mos.ru/houses/vskhv-vdnkh-vvts/
Усадьба Апраксина-Трубецких,https://um.mos.ru/houses/usadba-trubetskikh/
Симонов монастырь,https://um.mos.ru/houses/simonov_monastyr/
Дом коллекционера Сергея Щукина,https://um.mos.ru/houses/dom_kollektsionera_sergeya_shchukina/
Библиотека им.  В.И.Ленина,https://um.mos.ru/houses/biblioteka_im_v_i_lenina/
Магазин «Чай–кофе» (Чайный магазин Перлова),https://um.mos.ru/houses/magazin-chay-kofe/
Марфо-Мариинская обитель,https://um.mos.ru/houses/marfo_mariinskaya_obitel/
Усадьба Михайловой-Тальгрен,https://um.mos.ru/houses/usadba_mikhaylovoy_talgren/
Особняк С.П. фон Дервиза,https://um.mos.ru/houses/osobnyak_s_p_fon_derviza/
МХТ им. Чехова,https://um.mos.ru/houses/zdanie_mkht/
Дом генерал-губернатора (Мэрия),https://um.mos.ru/houses/dom_general_gubernatora_meriya/
«Дом-книжка»,https://um.mos.ru/houses/dom-knizhka/
Ресторан Прага,https://um.mos.ru/houses/restoran_praga/
Станция метро «Кропоткинская»,https://um.mos.ru/houses/stantsiya-metro-kropotkinskaya/
Городской родильный дом имени А. А. Абрикосовой,https://um.mos.ru/houses/gorodskoy-rodilnyy-dom-imeni-a-a-abrikosovoy/
Особняк Листа,https://um.mos.ru/houses/osobnyak_lista/
Доходный дом В. И. Фирсановой,https://um.mos.ru/houses/dokhodnyy-dom-v-i-firsanovoy/
Фабрика Станиславского,https://um.mos.ru/houses/fabrika_stanislavskogo/
Красный дом в Новогиреево,https://um.mos.ru/houses/krasnyy_dom_v_novogireevo/
Особняк Миндовского,https://um.mos.ru/houses/osobnyak_mindovskogo/
Дом Пороховщикова,https://um.mos.ru/houses/dom_porokhovshchikova/
Палаты бояр Волковых (дворец Юсуповых),https://um.mos.ru/houses/palaty_yusupovykh/
"Дом, в котором жил В.В. Маяковский",https://um.mos.ru/houses/dom_v_kotorom_zhil_v_v_mayakovskiy/
Ночлежный дом Ярошенко с трактиром «Каторга»,https://um.mos.ru/houses/nochlezhnyy-dom-yaroshenko-s-traktirom-katorga/
Особняк Высоцких,https://um.mos.ru/houses/osobnyak_vysotskikh/
Дворец Елизаветы Петровны в Покровском-Рубцове,https://um.mos.ru/houses/dvorets_elizavety_petrovny_v_pokrovskom_rubtsove/
Дом страхового общества «Россия»,https://um.mos.ru/houses/dom_strakhovogo_obshchestva_rossiya/
Особняк О.П. Коробковой со служебным флигелем и оградой,https://um.mos.ru/houses/osobnyak_korobkovoy/
"Тверская улица, д.9",https://um.mos.ru/houses/tverskaya_ulitsa_d_9/
Казанский вокзал,https://um.mos.ru/houses/kazanskiy_vokzal/
Усадьба П.И. Харитоненко,https://um.mos.ru/houses/usadba_p_i_kharitonenko/
Доходный дом И.П. Исакова,https://um.mos.ru/houses/dokhodnyy_dom_i_p_isakova/
Погодинская изба,https://um.mos.ru/houses/pogodinskaya_izba/
Покровский собор на рву (собор Василия Блаженного),https://um.mos.ru/houses/pokrovskiy-sobor-na-rvu-sobor-vasiliya-blazhennogo/
Жилой дом А.П. Ермолова,https://um.mos.ru/houses/zhiloy_dom_a_p_ermolova/
Дом архитектора Ф. О. Шехтеля,https://um.mos.ru/houses/dom_arkhitektora_f_o_shekhtelya/
Малый театр,https://um.mos.ru/houses/malyy-teatr/
Станция метро «Павелецкая» (радиальная),https://um.mos.ru/houses/stantsiya-metro-paveletskaya-radialnaya/
Вилла «Черный лебедь»,https://um.mos.ru/houses/villa_chernyy_lebed/
Станция метро «Выставочная»,https://um.mos.ru/houses/stantsiya-metro-vystavochnaya/
Особняк М.К. Морозовой,https://um.mos.ru/houses/osobnyak_m_k_morozovoy/
Англиканская церковь,https://um.mos.ru/houses/anglikanskaya_tserkov/
Спасская башня,https://um.mos.ru/houses/spasskaya-bashnya/
Станция метро «Площадь Революции»,https://um.mos.ru/houses/stantsiya_metro_ploshchad_revolyutsii/
Станция метро «Новослободская»,https://um.mos.ru/houses/stantsiya_novoslobodskaya/
Пушкинская площадь,https://um.mos.ru/houses/pushkinskaya_ploshchad/
Станция метро «Чистые пруды»,https://um.mos.ru/houses/stantsiya-metro-chistye-prudy/
Главное здание МГУ,https://um.mos.ru/houses/glavnoe_zdanie_mgu/
Дом Благородного собрания,https://um.mos.ru/houses/dom_blagorodnogo_sobraniya/
Елисеевский магазин,https://um.mos.ru/houses/eliseevskiy_magazin/
Летний домик графа Орлова,https://um.mos.ru/houses/letniy_domik_grafa_orlova/
Дом Юшкова,https://um.mos.ru/houses/dom_yushkova/
Третьяковская галерея,https://um.mos.ru/houses/tretyakovskaya_galereya/
Дом Московского Политехнического общества,https://um.mos.ru/houses/dom_moskovskogo_politekhnicheskogo_obshchestva/
Крутицкое подворье,https://um.mos.ru/houses/krutitskoe_podvore/
Особняк Носова,https://um.mos.ru/houses/osobnyak_nosova/
Ссудная казна,https://um.mos.ru/houses/ssudnaya-kazna/
Центросоюз,https://um.mos.ru/houses/tsentrosoyuz/
Доходный дом Я.М. Филатова,https://um.mos.ru/houses/dokhodnyy_dom_ya_m_filatova/
Дом Московского купеческого общества,https://um.mos.ru/houses/dom_moskovskogo_kupecheskogo_obshchestva/
Станция метро «Комсомольская» (радиальная),https://um.mos.ru/houses/stantsiya-metro-komsomolskaya-radialnaya/
Станция метро «Охотный ряд»,https://um.mos.ru/houses/stantsiya-metro-okhotnyy-ryad/
Торговый дом «Мюр и Мерилиз»,https://um.mos.ru/houses/torgovyy_dom_myur_i_meriliz/
Жилой дом Абрикосовых,https://um.mos.ru/houses/zhiloy-dom-abrikosovykh/
"Дом, в котором с конца 1921 г. по 1924 г. жил писатель М.А. Булгаков (кв.50, кв.34) (Пигит)",https://um.mos.ru/houses/dom_pigit/
Старая усадьба Голицыных,https://um.mos.ru/houses/usadba_golitsynykh/
Церковь иконы Всех скорбящих радости,https://um.mos.ru/houses/tserkov_ikony_vsekh_skorbyashchikh_radost/
Особняк Ф.О. Шехтеля,https://um.mos.ru/houses/osobnyak_f_o_shekhtelya/
Церковь Симеона Столпника на Поварской,https://um.mos.ru/houses/tserkov_simeona_stolpnika_na_povarskoy/
Лефортовский дворец,https://um.mos.ru/houses/lefortovskiy-dvorets/
Ленинградский вокзал,https://um.mos.ru/houses/leningradskiy_vokzal/
Ново-Екатерининская больница (Дом Гагарина),https://um.mos.ru/houses/novoekaterininskaya_bolnitsa/
Московский Университет,https://um.mos.ru/houses/moskovskiy_universitet/
Палаты XVII в. (т.н. «Палаты Мазепы»),https://um.mos.ru/houses/palaty-xvii-v-t-n-palaty-mazepy/
Торговый дом Московского страхового общества «Боярский двор»,https://um.mos.ru/houses/boyarskiy_dvor/
Усадьба Барышникова,https://um.mos.ru/houses/usadba_baryshnikova/
"Дом, в котором с февраля по май 1831 г. жил Пушкин Александр Сергеевич",https://um.mos.ru/houses/muzey_kvartira_a_s_pushkina/
Особняк Новиковых,https://um.mos.ru/houses/osobnyak-novikovykh/
Каменный мост,https://um.mos.ru/houses/kamennyy_most/
Храм Св. Григория Неокесарийского,https://um.mos.ru/houses/khram_sv_grigoriya_neokesariyskogo/
Триумфальная арка,https://um.mos.ru/houses/triumfalnaya_arka/
Центральный Московский ипподром,https://um.mos.ru/houses/tsentralnyy_moskovskiy_ippodrom/
Жилой дом Г.А. Палибина,https://um.mos.ru/houses/zhiloy_dom_g_a_palibina/
"Усадьба Голицыных ""Влахернское-Кузьминки""",https://um.mos.ru/houses/usadba-golitsynykh-vlakhernskoe-kuzminki/
Типография Сытина,https://um.mos.ru/houses/tipografiya_sytina/
Гостиница «Ленинградская»,https://um.mos.ru/houses/gostinitsa_leningradskaya/
Воспитательный дом,https://um.mos.ru/houses/vospitatelnyy_dom/
Дом Василия Львовича Пушкина,https://um.mos.ru/houses/dom_v_l_pushkina/
Дом купцов Кузнецовых,https://um.mos.ru/houses/dom_kuptsov_kuznetsovykh/
Казанский собор,https://um.mos.ru/houses/kazanskiy_sobor/
Усадьба Румянцева-Задунайского,https://um.mos.ru/houses/usadba_rumyantseva_zadunayskogo/
«Дом архитектора»,https://um.mos.ru/houses/dom_arkhitektora/
Третьяковские торговые ряды и проезд,https://um.mos.ru/houses/tretyakovskie_torgovye_ryady_i_proezd/
Театр Саввы Мамонтова,https://um.mos.ru/houses/teatr_savvy_mamontova/
Городская усадьба П. А. Позднякова-Юсуповых,https://um.mos.ru/houses/gorodskaya_usadba_p_a_pozdnyakova_yusupovykh/
Дом Петра Сысоева («Дом с кариатидами»),https://um.mos.ru/houses/dom_petra_sysoeva/
Городская усадьба С.П.Берга,https://um.mos.ru/houses/gorodskaya_usadba_s_p_berga/
Доходный дом И.М. Коровина,https://um.mos.ru/houses/dokhodnyy_dom_i_m_korovina/
Кинотеатр «Художественный»,https://um.mos.ru/houses/kinoteatr-khudozhestvennyy/
Московский академический театр Сатиры,https://um.mos.ru/houses/teatr_satiry/
МГК им. Чайковского,https://um.mos.ru/houses/moskovskaya_konservatoriya/
«Посольское подворье»,https://um.mos.ru/houses/posolskoe_podvore/
Старый Гостиный двор,https://um.mos.ru/houses/gostinyy_dvor/
"Ресторан ""Эрмитаж""",https://um.mos.ru/houses/restoran-ermitazh/
Особняк Гавриила Тарасова,https://um.mos.ru/houses/osobnyak_gavriila_tarasova/
Ивановский монастырь,https://um.mos.ru/houses/ivanovskiy_monastyr/
Станция метро «Комсомольская» (кольцевая),https://um.mos.ru/houses/stantsiya-metro-komsomolskaya-koltsevaya/
"Кинотеатр ""Форум""",https://um.mos.ru/houses/kinoteatr_forum/
Усадьба А.А.Яковлева,https://um.mos.ru/houses/usadba-a-a-yakovleva/
Доходный дом Я.А. Рекк,https://um.mos.ru/houses/dokhodnyy_dom_ya_a_rekk/
Здание ТАСС,https://um.mos.ru/houses/zdanie_tass/
Дом архитектора Мельникова,https://um.mos.ru/houses/dom_arkhitektora_melnikova/
"Особняк Святополк-Четвертинского, ЦДЛ",https://um.mos.ru/houses/osobnyak_svyatopolk_chetvertinskogo_tsdl/
Здание гостиницы «Националь»,https://um.mos.ru/houses/gostinitsa_natsional/
Церковь Спаса на Песках,https://um.mos.ru/houses/tserkov_spasa_na_peskakh/
Церковь Михаила Архангела,https://um.mos.ru/houses/tserkov_mikhaila_arkhangela/
Дом А. И. Лобанова-Ростовского,https://um.mos.ru/houses/dom_a_i_lobanova_rostovskogo/
Церковь Воскресения Христова в Кадашах,https://um.mos.ru/houses/tserkov_voskreseniya_khristova_v_kadashakh/
Ансамбль административных зданий ОГПУ-НКВД-КГБ СССР,https://um.mos.ru/houses/zdanie_ogpu_nkvd_kgb/
Станция метро «Университет»,https://um.mos.ru/houses/stantsiya_universitet/
"Дом, в котором жил Н.Д. Телешов",https://um.mos.ru/houses/dom-v-kotorom-zhil-n-d-teleshov/
Гимназия Поливанова (Усадьба Охотниковых),https://um.mos.ru/houses/gimnaziya_polivanova/
Ростокинский акведук,https://um.mos.ru/houses/rostokinskiy_akveduk/
Заиконоспасский монастырь,https://um.mos.ru/houses/zaikonospasskiy_monastyr/
Дом Брюсова,https://um.mos.ru/houses/dom_bryusova/
Дом писателей,https://um.mos.ru/houses/dom_pisateley/
Сокольническая пожарная каланча,https://um.mos.ru/houses/sokolnicheskaya_pozharnaya_kalancha/
Клуб Союза коммунальников имени И.В. Русакова,https://um.mos.ru/houses/klub_soyuza_kommunalnikov_imeni_i_v_rusakova/
Славянский базар,https://um.mos.ru/houses/slavyanskiy_bazar/
Главный дом городской усадьбы А. Д. Негуневой - Е.А. Ивановой - П.Н. Иванова,https://um.mos.ru/houses/glavnyy_dom_gorodskoy_usadby_a_d_negunevoy_e_a_ivanovoy_p_n_ivanova/
Доходный дом архитектора Г.И. Макаева,https://um.mos.ru/houses/dokhodnyy-dom-arkhitektora-g-i-makaeva-/
Станция метро «Сокол»,https://um.mos.ru/houses/stantsiya_metro_sokol/
Колокольня храма во имя св. вмц. Екатерины,https://um.mos.ru/houses/kolokolnya_khrama_vo_imya_sv_vmts_ekateriny/
Дом П. А. Смирнова,https://um.mos.ru/houses/dom_p_a_smirnova/
Дом Разумовского,https://um.mos.ru/houses/dom_razumovskogo/
Церковь Рождества Богородицы в Путинках,https://um.mos.ru/houses/tserkov-rozhdestva-bogoroditsy-v-putinkakh/
Центральный телеграф,https://um.mos.ru/houses/tsentralnyy_telegraf/
Вдовий дом,https://um.mos.ru/houses/vdoviy_dom/
Манеж,https://um.mos.ru/houses/manezh/
Доходный дом Баскакова,https://um.mos.ru/houses/dokhodnyy_dom_baskakova/
Церковь Введения в Барашах,https://um.mos.ru/houses/tserkov-vvedeniya-v-barashakh/
"Жилой дом, 1938 г.",https://um.mos.ru/houses/zhiloy_dom_1938_g/
Московский Кремль,https://um.mos.ru/houses/moskovskiy-kreml/
Курский вокзал,https://um.mos.ru/houses/kurskiy_vokzal/
Московский Императорский почтамт и телеграф,https://um.mos.ru/houses/moskovskiy-imperatorskiy-pochtamt-i-telegraf/
Усадьба фон Рекк («Дом со львами»),https://um.mos.ru/houses/dom_rekk/
Усадьба Лазаревых,https://um.mos.ru/houses/usadba_lazarevykh/
Музей им. А.А. Бахрушина,https://um.mos.ru/houses/muzey_im_a_a_bakhrushina/
Особняк И.Л. Динга,https://um.mos.ru/houses/osobnyak_i_l_dinga/
Дом Мастера (Дом Топлениновых),https://um.mos.ru/houses/dom_mastera/
Монетный двор,https://um.mos.ru/houses/monetnyy_dvor/
Усадьба П.В. Цигеля,https://um.mos.ru/houses/usadba-p-v-tsigelya/
Дом со львами,https://um.mos.ru/houses/dom_so_lvami/
Усадьба Куманиных,https://um.mos.ru/houses/usadba_kumaninykh/
«Дом на набережной» (Кинотеатр «Ударник»),https://um.mos.ru/houses/dom_na_naberezhnoy/
Французский лицей им. А. Дюма,https://um.mos.ru/houses/frantsuzskiy_litsey_im_a_dyuma/
Детский мир,https://um.mos.ru/houses/detskiy_mir/
Собор Богоявленского монастыря,https://um.mos.ru/houses/sobor_bogoyavlenskogo_monastyrya/
Городская усадьба Хрущевых-Селезневых,https://um.mos.ru/houses/gorodskaya_usadba_khrushchevykh_seleznevykh/
«Красный Октябрь»,https://um.mos.ru/houses/krasnyy_oktyabr/
Белорусский вокзал,https://um.mos.ru/houses/belorusskiy_vokzal/
Театр Ермоловой,https://um.mos.ru/houses/teatr_ermolovoy/
Сретенский монастырь,https://um.mos.ru/houses/sretenskiy_monastyr/
Дом фарфора (Торговый дом Кузнецова),https://um.mos.ru/houses/dom_farfora/
Палаты Голицыных,https://um.mos.ru/houses/palaty_golitsynykh/
Католический храм св. Людовика,https://um.mos.ru/houses/katolicheskiy_khram_sv_lyudovika/
МХАТ им. Горького,https://um.mos.ru/houses/mkhat/
Дом беседующих змей,https://um.mos.ru/houses/dom_beseduyushchikh_zmey/
Дом В.В. Грушецкого (Дом старика Болконского),https://um.mos.ru/houses/dom_starika_bolkonskogo/
«Театр Парадиз» — Театр Маяковского,https://um.mos.ru/houses/-teatr-paradiz-teatr-im-mayakovskogo/
Усадьба фон Вогау,https://um.mos.ru/houses/usadba-fon-vogau/
Церковь великомученицы Варвары на Варварке,https://um.mos.ru/houses/tserkov-velikomuchenitsy-varvary-na-varvarke/
Усадьба Лопухиных,https://um.mos.ru/houses/usadba_lopukhinykh/
Городская усадьба А.А. Гончарова — Филипповых,https://um.mos.ru/houses/gorodskaya_usadba_a_a_goncharova_filippovykh/
Церковь Ризоположения (Храм Ризоположения на Донской),https://um.mos.ru/houses/tserkov-rizopolozheniya/
Усадьба И.А. Морозова,https://um.mos.ru/houses/usadba_i_a_morozova/
Дом Якова Брюса,https://um.mos.ru/houses/dom_yakova_bryusa/
Дом А. И. Мусина-Пушкина,https://um.mos.ru/houses/dom_a_i_musina_pushkina/
"Особняк Н.А. Второва, или Спасо-хаус",https://um.mos.ru/houses/osobnyak_n_a_vtorova_ili_spaso_khaus/
Дом журналиста,https://um.mos.ru/houses/dom-zhurnalista/
Усадьба Долговых-Жемочкина,https://um.mos.ru/houses/usadba_zhemochkinykh/
Хоральная синагога,https://um.mos.ru/houses/khoralnaya_sinagoga/
Доходный дом А.Т. Филатовой,https://um.mos.ru/houses/dokhodnyy_dom_a_t_filatovoy/
Дом С. У. Соловьева,https://um.mos.ru/houses/dom_s_u_soloveva/
Станция метро «Арбатская» Арбатско-Покровской линии,https://um.mos.ru/houses/stantsiya_arbatskaya/
Музей изящных искусств,https://um.mos.ru/houses/muzey-izyashchnykh-iskusstv/
Городская усадьба Е.И. Васильчиковой — С.А. Оболенского — Н.Ф. фон Мекк,https://um.mos.ru/houses/gorodskaya-usadba-e-i-vasilchikovoy-s-a-obolenskogo-n-f-fon-mekk/
Дом Окуджавы,https://um.mos.ru/houses/dom_okudzhavy/
Станция метро «Парк культуры» Сокольнической линии,https://um.mos.ru/houses/stantsiya_metro_park_kultury_sokolnicheskoy_linii/
Церковь Троицы в Никитниках,https://um.mos.ru/houses/tserkov_troitsy_v_nikitnikakh/
«Новый корпус» МАРХИ,https://um.mos.ru/houses/novyy_korpus_markhi/
Станция метро «Белорусская» (радиальная),https://um.mos.ru/houses/stantsiya_metro_belorusskaya/
Гостиница «Советская»,https://um.mos.ru/houses/gostinitsa_sovetskaya/
Доходный дом купца Камзолкина,https://um.mos.ru/houses/dokhodnyy-dom-kuptsa-kamzolkina/
"Дом жилой, XVIII-XIX вв. (Камерный театр)",https://um.mos.ru/houses/kamernyy_teatr/
Станция метро «Римская»,https://um.mos.ru/houses/stantsiya-metro-rimskaya/
Останкинская телебашня,https://um.mos.ru/houses/ostankinskaya_telebashnya/
«Крыши Москвы»,https://um.mos.ru/houses/kryshi-moskvy/
Театр Вахтангова,https://um.mos.ru/houses/teatr_vakhtangova/
Усадьба Покровское–Глебово–Стрешнево,https://um.mos.ru/houses/usadba_pokrovskoe_glebovo_streshnevo/
Церковь Св. Николая в Пыжах,https://um.mos.ru/houses/tserkov_sv_nikolaya_v_pyzhakh/
Жилой дом у Покровских ворот,https://um.mos.ru/houses/dom_rabotnikov_nkvd/
Церковь Покровско-Успенской старообрядческой общины,https://um.mos.ru/houses/tserkov_pokrovsko_uspenskoy_staroobryadcheskoy_obshchiny/
Станция метро «Парк культуры»-кольцевая,https://um.mos.ru/houses/stantsiya_park_kultury_koltsevaya/
Гостиница «RADISSON COLLECTION»,https://um.mos.ru/houses/gostinitsa_ukraina/
Усадьба Луниных,https://um.mos.ru/houses/usadba_luninykh/
Ансамбль Рогожской ямской слободы,https://um.mos.ru/houses/ansambl_rogozhskoy_yamskoy_slobody/
Доходный дом Строгановского училища,https://um.mos.ru/houses/dokhodnyy_dom_stroganovskogo_uchilishcha/
Ванный домик у пруда,https://um.mos.ru/houses/vannyy_domik/
"""Дангауэровка""",https://um.mos.ru/houses/dangauerovka/
Римско-Католическая церковь Непорочного Зачатия в Грузинах,https://um.mos.ru/houses/rimsko_katolicheskaya_tserkov_neporochnogo_zachatiya_v_gruzinakh/
Городская усадьба С.М. Шибаева XIX в. Главный дом с палатами,https://um.mos.ru/houses/usadba_shibaevykh/
Городская усадьба В.А. Морозовой,https://um.mos.ru/houses/gorodskaya_usadba_v_a_morozovoy/
Новодевичий монастырь,https://um.mos.ru/houses/novodevichiy_monastyr/
Дом Моссельпрома,https://um.mos.ru/houses/dom_mosselproma/
Высоко-Петровский монастырь,https://um.mos.ru/houses/vysoko_petrovskiy_monastyr/
Усадьба Долгоруковых – Бобринских,https://um.mos.ru/houses/usadba-dolgorukova-bobrinskikh/
Киевский вокзал,https://um.mos.ru/houses/kievskiy_vokzal/
Дом Глебовых-Стрешневых,https://um.mos.ru/houses/dom_glebovykh_streshnevykh/
Дом Анны Монс,https://um.mos.ru/houses/dom-anny-mons/
Станция метро «Воробьевы горы»,https://um.mos.ru/houses/stantsiya-metro-vorobevy-gory/
Электроподстанция Московского метрополитена,https://um.mos.ru/houses/elektropodstantsiya-moskovskogo-metropolitena/
Дом академиков,https://um.mos.ru/houses/dom_akademikov/
Церковь Покрова Богоматери в Филях,https://um.mos.ru/houses/tserkov_pokrova_bogomateri_v_filyakh/
Красные казармы,https://um.mos.ru/houses/krasnye_kazarmy/
Преображенская больница,https://um.mos.ru/houses/preobrazhenskaya_bolnitsa/
Демидовский дворец,https://um.mos.ru/houses/demidovskiy_dvorets/
Особняк М.Ф. Якунчиковой,https://um.mos.ru/houses/osobnyak_m_f_yakunchikovoy/
Дом 48 на Земляном валу,https://um.mos.ru/houses/dom-v-kotorom-zhil-akademik-sakharov/
Станция метро «Динамо»,https://um.mos.ru/houses/stantsiya_metro_dinamo/
Усадьба Шаховских (Красильщиковых),https://um.mos.ru/houses/usadba_shakhovskikh_krasilshchikovykh/
Станция метро «Аэропорт»,https://um.mos.ru/houses/stantsiya_metro_aeroport/
Станция метро «Бауманская»,https://um.mos.ru/houses/stantsiya_metro_baumanskaya/
Театр на Таганке,https://um.mos.ru/houses/teatr_na_taganke/
Усадьба Алтуфьево,https://um.mos.ru/houses/usadba_altufevo/
Усадьба Васильчиковых,https://um.mos.ru/houses/usadba_vasilchikovykh/
Дом трёх композиторов,https://um.mos.ru/houses/dom_tryekh_kompozitorov/
Доходный дом П.В. Лоськова,https://um.mos.ru/houses/dokhodnyy_dom_p_v_loskova/
Городская усадьба Г.П. Юргенсона,https://um.mos.ru/houses/gorodskaya-usadba-g-p-yurgensona/
Усадьба Михалково,https://um.mos.ru/houses/usadba_mikhalkovo/
Типография  «Утро России»,https://um.mos.ru/houses/tipografiya_utro_rossii/
«Дом со львами»,https://um.mos.ru/houses/house_with_lions/
Казанское архиерейское подворье,https://um.mos.ru/houses/kazanskoe_arkhiereyskoe_podvore/
Театр Ф.А. Корша,https://um.mos.ru/houses/teatr_f_a_korsha/
Особняк Тимофея Тутолмина,https://um.mos.ru/houses/osobnyak_timofeya_tutolmina/
Военная академия им. М.В.Фрунзе,https://um.mos.ru/houses/voennaya-akademiya-im-m-v-frunze/
Голицынская больница,https://um.mos.ru/houses/golitsynskaya_bolnitsa/
"Дом Еропкина, конец XVIII в.",https://um.mos.ru/houses/kommercheskoe_uchilishche/
Кирха Петра и Павла,https://um.mos.ru/houses/kirkha_petra_i_pavla/
Гостиница В.А. Кокорева,https://um.mos.ru/houses/gostinitsa-v-a-kokoreva/
Часовня «Проща»,https://um.mos.ru/houses/chasovnya_proshcha/
Церковь Софии Премудрости Божией,https://um.mos.ru/houses/tserkov_sofii_premudrosti_bozhiey/
Городская усадьба Боткиных,https://um.mos.ru/houses/gorodskaya_usadba_botkinykh/
Доходный дом Первого Российского страхового общества,https://um.mos.ru/houses/dokhodnyy_dom_pervogo_rossiyskogo_strakhovogo_obshchestva/
Никольский (Никола Старый) греческий монастырь,https://um.mos.ru/houses/nikolskiy_monastyr_5852/
Церковь Илии Пророка Обыденного,https://um.mos.ru/houses/tserkov_ilii_proroka_obydennogo/
Станция метро «Автозаводская»,https://um.mos.ru/houses/stantsiya_metro_avtozavodskaya/
Усадьба Кожиных,https://um.mos.ru/houses/usadba_kozhinykh/
Храм Вознесения Господня (Малое Вознесение),https://um.mos.ru/houses/khram_vozneseniya_gospodnya_maloe_voznesenie/
Московский речной яхт-клуб,https://um.mos.ru/houses/moskovskiy-rechnoy-yakht-klub/
